ID caso;Nombre Actividad;Inicio;Fin;Ejecutor
1;Alarma domiciliaria;2021-06-02 02:44:48;2021-06-02 02:44:48;Sistema
1;Revisar cámaras;2021-06-02 02:45:32;2021-06-02 02:50:01;Pablo
1;Registrar hecho fortuito;2021-06-02 02:50:01;2021-06-02 02:50:01;Pablo
1;Avisar hecho fortuito;2021-06-02 02:50:15;2021-06-02 02:53:29;Pablo
2;Alarma domiciliaria;2021-06-02 06:43:50;2021-06-02 06:43:50;Sistema
2;Revisar cámaras;2021-06-02 06:44:17;2021-06-02 06:47:26;Pablo
2;Registrar hecho fortuito;2021-06-02 06:47:26;2021-06-02 06:47:26;Pablo
2;Avisar hecho fortuito;2021-06-02 06:47:49;2021-06-02 06:51:58;Pablo
3;Alarma domiciliaria;2021-06-02 00:45:41;2021-06-02 00:45:41;Sistema
3;Revisar cámaras;2021-06-02 00:46:06;2021-06-02 00:51:06;Catalina
3;Registrar hecho no precisado;2021-06-02 00:51:06;2021-06-02 00:51:06;Catalina
3;Solicitar revisar alarma;2021-06-02 00:51:19;2021-06-02 00:52:28;Catalina
4;Alarma domiciliaria;2021-06-02 02:45:26;2021-06-02 02:45:26;Sistema
4;Revisar cámaras;2021-06-02 02:46:18;2021-06-02 02:51:18;Catalina
4;Registrar hecho no precisado;2021-06-02 02:51:18;2021-06-02 02:51:18;Catalina
4;Solicitar revisar alarma;2021-06-02 02:51:38;2021-06-02 02:53:16;Catalina
5;Alarma domiciliaria;2021-06-02 04:45:54;2021-06-02 04:45:54;Sistema
5;Revisar cámaras;2021-06-02 04:46:11;2021-06-02 04:51:11;Catalina
5;Registrar hecho no precisado;2021-06-02 04:51:11;2021-06-02 04:51:11;Catalina
5;Solicitar revisar alarma;2021-06-02 04:51:30;2021-06-02 04:52:39;Catalina
6;Alarma domiciliaria;2021-06-02 06:44:57;2021-06-02 06:44:57;Sistema
6;Revisar cámaras;2021-06-02 06:45:04;2021-06-02 06:48:30;Catalina
6;Te atrapé;2021-06-02 06:48:30;2021-06-02 06:48:30;Catalina
6;Señal persona casa;2021-06-02 06:50:12;2021-06-02 06:50:39;Catalina
6;Clave digitada;2021-06-02 06:53:59;2021-06-02 06:53:59;Sistema
7;Alarma domiciliaria;2021-06-02 00:05:22;2021-06-02 00:05:22;Sistema
7;Revisar cámaras;2021-06-02 00:05:45;2021-06-02 00:07:07;Lorenzo
7;Te atrapé;2021-06-02 00:07:07;2021-06-02 00:07:07;Lorenzo
7;Señal persona casa;2021-06-02 00:08:22;2021-06-02 00:08:49;Lorenzo
7;Clave digitada;2021-06-02 00:09:34;2021-06-02 00:09:34;Sistema
8;Alarma domiciliaria;2021-06-02 01:24:23;2021-06-02 01:24:23;Sistema
8;Revisar cámaras;2021-06-02 01:24:38;2021-06-02 01:26:26;Lorenzo
8;Registrar hecho fortuito;2021-06-02 01:26:26;2021-06-02 01:26:26;Lorenzo
8;Avisar hecho fortuito;2021-06-02 01:26:40;2021-06-02 01:29:35;Lorenzo
9;Alarma domiciliaria;2021-06-02 02:43:48;2021-06-02 02:43:48;Sistema
9;Revisar cámaras;2021-06-02 02:44:38;2021-06-02 02:46:32;Lorenzo
9;Registrar hecho fortuito;2021-06-02 02:46:32;2021-06-02 02:46:32;Lorenzo
9;Avisar hecho fortuito;2021-06-02 02:46:53;2021-06-02 02:49:53;Lorenzo
